,price,mileage,model
0,5350,39590.0,mpv
1,25000,64146.0,door
2,5700,45561.0,mpv
3,13350,23525.0,door
4,5250,63418.0,mpv
5,12920,39650.0,mpv
6,20700,100757.0,door
7,12710,25747.0,door
8,5210,35714.0,mpv
9,38100,54380.0,door
10,12520,30114.0,door
11,15000,61578.0,door
12,6180,46010.0,mpv
13,20800,105510.0,door
14,11900,28040.0,door
15,12000,31039.0,door
16,4190,44174.0,doors
17,12710,26364.0,door
18,5330,37792.0,mpv
19,11900,27965.0,door
20,7320,32366.0,mpv
21,12710,30049.0,door
22,6330,38123.0,mpv
23,12520,28972.0,door
24,5580,46829.0,mpv
25,12710,39886.0,mpv
26,7760,44794.0,mpv
27,12920,39165.0,mpv
28,18100,46766.0,door
29,13490,27842.0,door
30,17800,52435.0,door
31,6650,29942.0,door
32,12710,32504.0,door
33,18600,35200.0,door
34,4340,25602.0,door
35,12780,31009.0,door
36,4430,31792.0,door
37,12520,30636.0,door
38,26400,25434.0,door
39,4140,36732.0,door
40,12520,31992.0,door
41,4640,36139.0,door
42,24000,84413.0,door
43,13200,33457.0,door
44,4140,17617.0,door
45,11500,36855.0,door
46,9110,110316.0,door
47,7350,88227.0,door
48,24500,17626.0,door
49,9300,120353.0,door
50,15110,39333.0,door
51,34000,42930.0,door
52,5990,44929.0,mpv
53,23605,35598.0,door
54,10780,40455.0,mpv
55,25201,19011.0,door
56,7070,45191.0,mpv
57,8530,42104.0,door
58,23100,49496.0,durango
59,24500,32418.0,door
60,7000,29882.0,mpv
61,6980,29168.0,mpv
62,9200,21770.0,door
63,7070,30318.0,mpv
64,28500,48086.0,door
65,47500,26562.0,door
66,10940,84916.0,door
67,32100,24521.0,f-150
68,6830,35888.0,mpv
69,11900,59537.0,caravan
70,4160,32870.0,mpv
71,19405,39687.0,door
72,5690,47085.0,mpv
73,5090,42989.0,mpv
74,4260,33957.0,mpv
75,7210,38910.0,doors
76,6800,36767.0,doors
77,10780,19420.0,mpv
78,6440,20942.0,doors
79,19900,86826.0,door
80,37000,45787.0,door
81,4040,50765.0,mpv
82,31200,76326.0,door
83,4290,39029.0,mpv
84,19002,46467.0,door
85,4160,6743.0,mpv
86,6060,32504.0,doors
87,28800,77638.0,door
88,6140,52966.0,doors
89,20105,51393.0,door
90,6760,35461.0,doors
91,25800,47055.0,door
92,5470,39721.0,mpv
93,14600,75785.0,door
94,15110,42289.0,door
95,7900,79422.0,door
96,27305,28844.0,door
97,15290,66582.0,door
98,26500,61436.0,door
99,25502,58303.0,door
100,7320,55618.0,mpv
101,24502,33045.0,door
102,4140,40747.0,door
103,4160,37176.0,door
104,15840,72445.0,door
105,20500,123355.0,door
106,4200,60219.0,door
107,17400,135077.0,door
108,32001,32058.0,door
109,0,76858.0,mpv
110,31009,33928.0,door
111,31002,71809.0,door
112,3160,31563.0,doors
113,12990,126523.0,door
114,7420,55854.0,mpv
115,13500,45757.0,door
116,3540,112893.0,door
117,17000,126802.0,door
118,4130,34061.0,door
119,15700,70251.0,door
120,4130,42426.0,doors
121,15500,66452.0,door
122,4530,41455.0,mpv
123,15600,35275.0,door
124,4100,38815.0,door
125,18200,162281.0,door
126,10200,56479.0,door
127,4080,61027.0,doors
128,5000,37321.0,door
129,1700,112789.0,door
130,6200,80394.0,door
131,3650,68142.0,door
132,10500,74203.0,door
133,3450,90711.0,door
134,6810,66781.0,mpv
135,4450,32486.0,mpv
136,5800,195908.0,door
137,4240,83262.0,mpv
138,8600,73321.0,door
139,7040,33291.0,mpv
140,30851,43176.0,door
141,4880,36876.0,mpv
142,7600,110489.0,door
143,13270,84035.0,door
144,12800,131101.0,door
145,9280,101380.0,door
146,7560,111476.0,door
147,8020,31944.0,door
148,10480,57289.0,doors
149,7410,21034.0,door
150,10300,167600.0,door
151,7570,37252.0,door
152,12560,15958.0,doors
153,33000,32251.0,durango
154,31700,26549.0,durango
155,7340,15854.0,doors
156,8200,56690.0,door
157,3000,97142.0,door
158,6530,10185.0,mpv
159,7400,16482.0,doors
160,4400,17911.0,mpv
161,10330,21278.0,mpv
162,22800,67217.0,door
163,9190,41961.0,mpv
164,10900,13273.0,mpv
165,10400,31713.0,mpv
166,22809,50732.0,f-150
167,5520,52904.0,mpv
168,10900,14195.0,mpv
169,6330,43965.0,mpv
170,2320,112182.0,door
171,23702,49024.0,door
172,5520,35821.0,mpv
173,14810,32611.0,mpv
174,24800,46955.0,door
175,6270,70443.0,mpv
176,10050,18229.0,mpv
177,1420,104405.0,door
178,27003,57186.0,door
179,5600,59808.0,mpv
180,10120,20681.0,mpv
181,3920,102700.0,door
182,23100,53270.0,door
183,5630,27195.0,mpv
184,2800,20849.0,doors
185,8850,143818.0,door
186,18712,67347.0,f-150
187,6300,117400.0,mpv
188,6930,47798.0,mpv
189,3440,124542.0,door
190,50412,47129.0,door
191,9270,19490.0,mpv
192,11380,12038.0,mpv
193,5350,43536.0,mpv
194,3790,100893.0,door
195,40514,90304.0,door
196,9190,31394.0,mpv
197,10330,25933.0,mpv
198,3830,50593.0,door
199,43402,62387.0,door
200,6940,217290.0,door
201,13080,17243.0,mpv
202,10630,82899.0,door
203,43009,76418.0,door
204,4950,71404.0,mpv
205,3760,30382.0,doors
206,3900,179389.0,door
207,3830,82534.0,door
208,53500,55732.0,door
209,6240,83623.0,door
210,4150,108895.0,door
211,6490,74754.0,door
212,51502,27661.0,door
213,7770,72732.0,door
214,9210,26911.0,door
215,3960,95128.0,door
216,5998,122975.0,doors
217,3700,162824.0,doors
218,5000,140339.0,door
219,15050,26786.0,mpv
220,3960,35623.0,doors
221,2630,36739.0,doors
222,5690,42616.0,mpv
223,20400,36122.0,door
224,4320,88359.0,door
225,33001,35905.0,f-150
226,5790,105020.0,door
227,14750,11047.0,mpv
228,4010,31233.0,doors
229,3550,29043.0,doors
230,3040,36064.0,doors
231,4480,116480.0,door
232,31003,72084.0,door
233,8850,148035.0,door
234,14750,11396.0,mpv
235,4690,33785.0,mpv
236,10740,48140.0,doors
237,3160,34861.0,doors
238,3450,114119.0,door
239,27102,34165.0,f-150
240,5100,144792.0,door
241,15010,11394.0,mpv
242,5800,30546.0,mpv
243,8000,88274.0,door
244,3390,38349.0,doors
245,3140,30142.0,doors
246,15000,44730.0,door
247,23911,25698.0,f-150
248,11000,8930.0,mpv
